dstArcSec,name,ra,dec,objid,nuv_mag,nuv_magerr,nuv_flux,minPhotoObsDate,maxPhotoObsDate,fexptime,nexptime,tilename,tilenum,img,subvis,ParentImgRunID,survey
0.754301110992676,HD_100180,172.937212490511,14.3643140142649,6379078420326778744,12.22248,0.003670215,46882.11,4/5/2007 8:04:59 AM,4/5/2007 8:06:19 AM,80,80,AIS_232,50232,2,26,6379078557729030144,AIS
2.47786379663801,HD_75332,132.633486265419,33.2848356493822,6378480289222493765,12.91989,0.004491975,24662.78,1/20/2006 11:52:09 AM,1/20/2006 11:53:42 AM,92,93,AIS_215,50215,2,29,6378480426624745472,AIS
2.79145427772074,HD_78366,137.212915914615,33.8829709827354,6378445117733210371,12.95243,0.004719063,23934.64,4/1/2007 7:27:42 AM,4/1/2007 7:29:18 AM,96,96,AIS_214,50214,2,41,6378445255137558528,AIS
0.810201746046461,HD_78366,137.212545768136,33.8821003197953,6378445117734261090,-999,-999,-999,4/1/2007 7:27:42 AM,4/1/2007 7:29:18 AM,96,96,AIS_214,50214,2,41,6378445255137558528,AIS
1.16798809400204,HD_78366,137.212437061936,33.8823474441034,6378445117700706899,-999,-999,-999,2/18/2006 1:10:50 PM,2/18/2006 1:12:42 PM,112,112,AIS_214,50214,1,41,6378445255137558528,AIS
1.70090548104141,HD_13421,32.837888489562,8.5702739204405,6377389641299918875,12.87251,0.004132243,25763,10/16/2007 11:11:38 AM,10/16/2007 11:13:26 AM,108,108,AIS_184,50184,1,92,6377389778735726592,AIS
4.37157582722348,HD_219834A,349.778398229311,-13.4583729748789,6376650761968817464,-999,-999,-999,9/14/2006 4:16:13 AM,9/14/2006 4:18:37 AM,144,144,AIS_163,50163,1,85,6376650899405668352,AIS
1.11047367873442,HD_212754,336.656086984967,4.39381732450543,6376404479955174625,11.71865,0.002605136,74565.69,9/24/2006 12:16:57 PM,9/24/2006 12:18:46 PM,109.05,109.05,AIS_156,50156,1,93,6376404617390981120,AIS
1.43944702622702,HD_97334,168.134401523304,35.8138380311858,6374645244169818480,-999,-999,-999,2/27/2005 1:26:23 PM,2/27/2005 1:28:15 PM,112,112,AIS_106,50106,1,77,6374645381606670336,AIS
1.8682566716215,HD_115043,198.403769304518,56.7078070022431,6374434126194280506,12.26469,0.00362618,45094.54,2/18/2008 12:03:57 PM,2/18/2008 12:05:33 PM,96,96,AIS_100,50100,3,66,6374434263562977280,AIS
1.65985026621659,HD_115043,198.404036921177,56.7078154808604,6374434126158628893,12.2279,0.003874251,46648.66,4/21/2005 8:31:43 AM,4/21/2005 8:33:03 AM,0,80,AIS_100,50100,2,66,6374434263562977280,AIS
3.08263786220661,HD_111456,192.163389065473,60.3192114660154,6374434087470366721,11.98499,0.002879674,58345.26,2/16/2007 9:15:09 PM,2/16/2007 9:16:54 PM,105,105,AIS_100,50100,1,30,6374434224908271616,AIS
