#Table: III/159A/catalog.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------------------------------------------------------------------------------------------
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |r|      |      |       |
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |P|      |      |       |
#          |    |      |      |      |     e|      |        |        |          |          |                   |                 |o|      |      |       |
#Star      |Nobs|  Smin|  Smax| Smean|_Smean|   sdS|    Wmin|   Wmean|Date1     |Date2     |SName              |   RAdeg    DEdeg|s|  Bmag|  Vmag|   ASCC|   HIP
#----------|----|------|------|------|------|------|--------|--------|----------|----------|-------------------|-----------------|-|------|------|-------|------
Hya    19 |   1|0.2726|0.2726|0.2726|0.0000|  0.00|   823.3|   823.3|11/12/1978|11/12/1978|Cl Melotte 25 19   |063.6428 +10.7014|A| 7.625| 7.103| 921200| 19796
Hya    20 |   1|0.3189|0.3189|0.3189|0.0000|  0.00|  1108.5|  1108.5|13/12/1978|13/12/1978|Cl Melotte 25 20   |063.9426 +15.4007|A| 6.719| 6.297| 838112| 19877
Hya    21 |   1|0.3087|0.3087|0.3087|0.0000|  0.00|  2643.4|  2643.4|13/12/1978|13/12/1978|Cl Melotte 25 21   |064.1392 +21.9076|A| 9.944| 9.125| 749540| 19934
Hya    21 |   3|0.3986|0.4488|0.4157|0.0287|  6.90|   279.9|   313.8|16/ 1/1982|16/ 1/1982|Cl Melotte 25 21   |064.1392 +21.9076|A| 9.944| 9.125| 749540| 19934
Hya    21 |   6|0.4476|0.4862|0.4638|0.0144|  3.11|  1327.6|  1389.4|13/ 1/1983|14/ 1/1983|Cl Melotte 25 21   |064.1392 +21.9076|A| 9.944| 9.125| 749540| 19934
Hya    22 |  66|0.3014|0.6175|0.4258|0.0933| 21.91|   339.6|   705.2|24/10/1981| 2/ 2/1982|Cl Melotte 25 22   |064.4120 +16.9479|A| 9.075| 8.315| 838157| 20019
Hya    22 |  21|0.3252|0.5617|0.4132|0.0768| 18.58|   336.1|  1236.6|19/12/1982|21/ 1/1983|Cl Melotte 25 22   |064.4120 +16.9479|A| 9.075| 8.315| 838157| 20019
Hya    23 |   1|0.2291|0.2291|0.2291|0.0000|  0.00|  2975.6|  2975.6|13/12/1978|13/12/1978|Cl Melotte 25 23   |064.5074 +18.2569|A| 8.229| 7.521| 838163| 20056
Hya    24 |   1|0.2709|0.2709|0.2709|0.0000|  0.00|   906.7|   906.7|13/12/1978|13/12/1978|Cl Melotte 25 24   |064.5964 +21.5794|A| 5.945| 5.631| 749607| 20087
Hya    25 |   1|0.2508|0.2508|0.2508|0.0000|  0.00|   639.2|   639.2|13/12/1978|13/12/1978|Cl Melotte 25 25   |064.5800 +16.0884|A|10.562| 9.569| 838174| 20082
Hya    26 |  12|0.3502|0.3878|0.3664|0.0131|  3.58|   852.0|  1644.7|12/ 1/1983|21/ 1/1983|Cl Melotte 25 26   |064.7413 +19.9068|A| 9.341| 8.592| 838185| 20130
Hya    27 |  24|0.3089|0.4346|0.3754|0.0353|  9.39|   283.4|   582.8| 3/11/1981|17/ 1/1982|Cl Melotte 25 27   |064.7831 +17.5248|A| 9.204| 8.456| 838189| 20146
Hya    27 |  21|0.3227|0.3978|0.3564|0.0188|  5.27|   160.0|  1120.8|19/12/1982|21/ 1/1983|Cl Melotte 25 27   |064.7831 +17.5248|A| 9.204| 8.456| 838189| 20146
Hya    28 |   1|0.4851|0.4851|0.4851|0.0000|  0.00|  1045.1|  1045.1|11/12/1978|11/12/1978|Cl Melotte 25 28   |064.9481 +15.6277|A| 4.627| 3.642| 838205| 20205
Hya    29 |  18|0.2297|0.2813|0.2609|0.0129|  4.94|   547.0|  1783.6|24/10/1981|23/12/1981|Cl Melotte 25 29   |064.9783 +16.5227|A| 7.401| 6.853| 838209| 20215
Hya    29 | 162|0.2417|0.2883|0.2685|0.0084|  3.14|   654.2|  2210.4|23/ 9/1982|22/ 2/1983|Cl Melotte 25 29   |064.9783 +16.5227|A| 7.401| 6.853| 838209| 20215
Hya    31 |  60|0.2522|0.3454|0.2902|0.0162|  5.58|   429.8|  1453.7|24/10/1981|26/ 1/1982|Cl Melotte 25 31   |065.0537 +19.2336|A| 8.043| 7.444| 838217| 20237
Hya    31 | 101|0.2628|0.3091|0.2883|0.0105|  3.65|   259.4|  1567.8|23/ 9/1982|17/ 2/1983|Cl Melotte 25 31   |065.0537 +19.2336|A| 8.043| 7.444| 838217| 20237
Hya    32 |   2|1.1032|1.2148|1.1590|0.0789|  6.81|  1618.3|  2122.1|11/12/1978|13/12/1978|Cl Melotte 25 32   |065.1043 +18.7427|A| 6.498| 6.093| 838222| 20255
Hya    33 |   1|0.6439|0.6439|0.6439|0.0000|  0.00|   928.6|   928.6|11/12/1978|11/12/1978|Cl Melotte 25 33   |065.1510 +15.0955|A| 5.507| 5.252| 838228| 20261
Hya    35 |   1|0.3045|0.3045|0.3045|0.0000|  0.00|  6247.1|  6247.1|12/12/1978|12/12/1978|Cl Melotte 25 35   |065.3816 +21.0400|A| 7.234| 6.783| 749711| 20349
Hya    35 | 123|0.2196|0.2618|0.2404|0.0072|  2.97|   912.1|  2438.0| 1/11/1982| 8/ 3/1983|Cl Melotte 25 35   |065.3816 +21.0400|A| 7.234| 6.783| 749711| 20349
Hya    36 |  66|0.1831|0.2297|0.2115|0.0086|  4.04|   583.4|  1731.6|30/10/1981| 1/ 2/1982|Cl Melotte 25 36   |065.3842 +18.4177|A| 7.264| 6.800| 838249| 20350
Hya    36 | 153|0.1910|0.2321|0.2100|0.0059|  2.82|   556.8|  2391.8|23/ 9/1982| 9/ 3/1983|Cl Melotte 25 36   |065.3842 +18.4177|A| 7.264| 6.800| 838249| 20350
Hya    37 |  62|0.2198|0.2628|0.2467|0.0076|  3.07|   807.6|  2099.4|30/10/1981| 2/ 2/1982|Cl Melotte 25 37   |065.3947 +14.4098|A| 7.018| 6.584| 921354| 20357
Hya    37 |  84|0.2335|0.2598|0.2471|0.0061|  2.49|  1366.0|  2588.8|23/ 9/1982| 6/ 1/1983|Cl Melotte 25 37   |065.3947 +14.4098|A| 7.018| 6.584| 921354| 20357
Hya    38 |   1|0.6329|0.6329|0.6329|0.0000|  0.00|  3523.4|  3523.4|12/12/1978|12/12/1978|Cl Melotte 25 38   |065.5144 +14.0773|A| 6.054| 5.710| 921366| 20400
Hya    41 |   1|0.5539|0.5539|0.5539|0.0000|  0.00|  1796.2|  1796.2|12/12/1978|12/12/1978|Cl Melotte 25 41   |065.7334 +17.5426|A| 4.747| 3.753| 838290| 20455
Hya    42 |   1|0.2460|0.2460|0.2460|0.0000|  0.00| 14114.6| 14114.6|12/12/1978|12/12/1978|Cl Melotte 25 42   |065.8428 +21.3792|A| 9.628| 8.846| 749771| 20480
Hya    42 |   9|0.3552|0.3930|0.3808|0.0119|  3.13|   827.2|  1464.1|12/ 1/1983|14/ 1/1983|Cl Melotte 25 42   |065.8428 +21.3792|A| 9.628| 8.846| 749771| 20480
Hya    43 |   1|0.3571|0.3571|0.3571|0.0000|  0.00|  3969.8|  3969.8|12/12/1978|12/12/1978|Cl Melotte 25 43   |065.8450 +19.6588|A|10.290| 9.381| 838295| 20482
Hya    44 |   1|0.3010|0.3010|0.3010|0.0000|  0.00|  6275.1|  6275.1|12/12/1978|12/12/1978|Cl Melotte 25 44   |065.8764 +24.4055|A| 7.643| 7.169| 749778| 20491
Hya    46 |   1|0.2391|0.2391|0.2391|0.0000|  0.00|  6908.2|  6908.2|12/12/1978|12/12/1978|Cl Melotte 25 46   |065.8844 +14.6705|A| 9.959| 9.091| 921401| 20492
Hya    47 |   1|0.2183|0.2183|0.2183|0.0000|  0.00|  7095.2|  7095.2|12/12/1978|12/12/1978|Cl Melotte 25 47   |066.0237 +17.4442|A| 4.981| 4.795| 838324| 20542
Hya    48 |  51|0.2417|0.2933|0.2662|0.0092|  3.45|   699.7|  1691.4| 1/11/1981|26/ 1/1982|Cl Melotte 25 48   |066.0604 +21.7364|A| 7.658| 7.118| 749805| 20557
Hya    48 | 132|0.2339|0.2851|0.2586|0.0103|  3.98|   915.1|  2126.1|23/ 9/1982|17/ 2/1983|Cl Melotte 25 48   |066.0604 +21.7364|A| 7.658| 7.118| 749805| 20557
Hya    49 |   9|0.2400|0.2813|0.2681|0.0138|  5.16|   839.6|   914.3| 2/11/1981| 9/11/1981|Cl Melotte 25 49   |066.0530 +16.3790|A| 8.818| 8.224| 838328|
Hya    49 |   3|0.2953|0.3159|0.3058|0.0103|  3.37|  2514.1|  2549.4|14/ 1/1983|14/ 1/1983|Cl Melotte 25 49   |066.0530 +16.3790|A| 8.818| 8.224| 838328|
Hya    50 |  66|0.2981|0.3773|0.3341|0.0175|  5.24|   385.3|  1441.2|24/10/1981|31/ 1/1982|Cl Melotte 25 50   |066.0517 +14.7583|A| 8.540| 7.583| 921421| 20553
Hya    50 |  66|0.3225|0.3953|0.3555|0.0186|  5.22|   699.5|  1527.0|23/ 9/1982| 2/ 2/1983|Cl Melotte 25 50   |066.0517 +14.7583|A| 8.540| 7.583| 921421| 20553
Hya    51 |   1|0.3641|0.3641|0.3641|0.0000|  0.00|  3087.7|  3087.7|13/12/1978|13/12/1978|Cl Melotte 25 51   |066.0926 +17.0790|A| 7.429| 6.948| 838331| 20567
