#Table: III/159A/catalog.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------------------------------------------------------------------------------------------
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |r|      |      |       |
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |P|      |      |       |
#          |    |      |      |      |     e|      |        |        |          |          |                   |                 |o|      |      |       |
#Star      |Nobs|  Smin|  Smax| Smean|_Smean|   sdS|    Wmin|   Wmean|Date1     |Date2     |SName              |   RAdeg    DEdeg|s|  Bmag|  Vmag|   ASCC|   HIP
#----------|----|------|------|------|------|------|--------|--------|----------|----------|-------------------|-----------------|-|------|------|-------|------
HD 114710 | 225|0.1922|0.2206|0.2057|0.0063|  3.06|  2182.2| 10228.0|23/ 1/1982| 1/ 7/1982|HD 114710          |197.9705 +27.8760|A| 4.840| 4.241| 686177| 64394
HD 114710 | 168|0.1926|0.2191|0.2066|0.0053|  2.55|  3020.7| 13174.8|11/ 1/1983|31/ 5/1983|HD 114710          |197.9705 +27.8760|A| 4.840| 4.241| 686177| 64394
HD 114740 |   1|0.2000|0.2000|0.2000|0.0000|  0.00| 17586.1| 17586.1| 6/ 4/1977| 6/ 4/1977|HD 114740          |198.4800 -65.9574|A| 9.079| 8.919|2402287|
HD 115043 |   2|0.2977|0.3353|0.3165|0.0266|  8.40|   708.6|  1073.7| 2/ 5/1978| 6/ 6/1978|HD 115043          |198.4037 +56.7083|A| 7.427| 6.811| 192850| 64532
HD 115383 |   4|0.3251|0.3724|0.3429|0.0208|  6.06|     0.0|     0.0| 9/ 3/1966|30/ 5/1966|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |   7|0.3214|0.3412|0.3294|0.0059|  1.79|     0.0|     0.0|28/ 2/1967|23/ 7/1967|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |   7|0.3092|0.3310|0.3228|0.0087|  2.71|     0.0|     0.0|11/ 2/1968|10/ 7/1968|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  11|0.3238|0.3386|0.3322|0.0046|  1.39|     0.0|     0.0|31/ 1/1969| 2/ 5/1969|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  17|0.3215|0.3433|0.3306|0.0063|  1.91|     0.0|     0.0|16/ 3/1970|25/ 6/1970|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  11|0.3016|0.3186|0.3076|0.0056|  1.81|     0.0|     0.0|17/ 3/1971|12/ 6/1971|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  13|0.2840|0.3302|0.2993|0.0138|  4.62|     0.0|     0.0| 2/ 2/1972| 5/ 7/1972|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  13|0.2917|0.3203|0.3044|0.0071|  2.32|     0.0|     0.0|13/ 2/1973| 3/ 6/1973|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  13|0.3077|0.3334|0.3199|0.0060|  1.88|     0.0|     0.0| 7/ 2/1974|12/ 6/1974|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  19|0.2989|0.3295|0.3120|0.0077|  2.46|     0.0|     0.0|19/ 1/1975|29/ 6/1975|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  15|0.2664|0.3237|0.2958|0.0185|  6.26|     0.0|     0.0|15/ 1/1976|11/ 6/1976|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  27|0.2730|0.3137|0.2927|0.0089|  3.04| 13592.5|  7250.9|29/ 1/1977| 3/ 6/1977|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |   4|0.2931|0.3056|0.2995|0.0051|  1.71|  1499.9|  8359.4| 3/ 5/1978|17/ 6/1978|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |  15|0.2472|0.3403|0.3103|0.0241|  7.76|  6547.9| 21775.6|18/ 1/1979|27/ 6/1979|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 |   2|0.2977|0.3025|0.3001|0.0034|  1.13|  8020.7|  8319.8|22/ 1/1980| 8/ 2/1980|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 | 138|0.2974|0.3382|0.3136|0.0081|  2.57|  2872.1|  5656.1| 5/ 2/1981|24/ 6/1981|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 | 192|0.2777|0.3226|0.3032|0.0074|  2.44|  2928.8|  5951.0|23/ 1/1982| 1/ 7/1982|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115383 | 162|0.2838|0.3346|0.3086|0.0092|  2.99|  2720.9|  6707.4|11/ 1/1983|31/ 5/1983|HD 115383          |199.1946 +09.4237|A| 5.789| 5.189|1045052| 64792
HD 115404 |  10|0.5023|0.6035|0.5668|0.0350|  6.18|     0.0|     0.0|11/ 2/1968|11/ 7/1968|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  11|0.5123|0.6568|0.5890|0.0471|  8.00|     0.0|     0.0|31/ 1/1969|30/ 4/1969|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  19|0.5319|0.6161|0.5779|0.0202|  3.49|     0.0|     0.0|25/ 1/1970|25/ 6/1970|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  11|0.5023|0.5734|0.5246|0.0199|  3.79|     0.0|     0.0|10/ 1/1971|12/ 6/1971|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  12|0.5259|0.6102|0.5487|0.0268|  4.88|     0.0|     0.0| 2/ 2/1972|19/ 6/1972|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  14|0.5431|0.6014|0.5703|0.0177|  3.11|     0.0|     0.0|20/ 1/1973| 3/ 6/1973|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  16|0.5060|0.5727|0.5374|0.0213|  3.96|     0.0|     0.0| 7/ 2/1974|22/ 6/1974|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  18|0.4758|0.5915|0.5214|0.0354|  6.78|     0.0|     0.0|19/ 1/1975|29/ 6/1975|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  14|0.4586|0.5367|0.5002|0.0225|  4.50|     0.0|     0.0|15/ 1/1976|11/ 6/1976|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  26|0.4815|0.5694|0.5178|0.0252|  4.87|  4967.6|  4618.0|29/ 1/1977| 3/ 6/1977|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |   5|0.5376|0.5753|0.5507|0.0155|  2.82|  1250.7|  4953.6| 1/ 5/1978|14/ 6/1978|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |  17|0.3530|0.6315|0.5332|0.0695| 13.04|  3387.9| 11278.0|19/ 1/1979|27/ 6/1979|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 |   2|0.5413|0.5876|0.5645|0.0327|  5.80|  3580.9|  5316.0|22/ 1/1980| 8/ 2/1980|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 | 224|0.4805|0.6334|0.5556|0.0301|  5.43|   578.0|  2138.5|22/ 2/1981|23/ 7/1981|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 | 216|0.4517|0.6072|0.5394|0.0267|  4.96|   703.9|  1717.0|17/ 1/1982| 1/ 7/1982|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115404 | 153|0.4752|0.6234|0.5403|0.0252|  4.66|  1463.3|  2413.3| 9/ 1/1983|31/ 5/1983|HD 115404          |199.2111 +17.0178|A| 7.449| 6.547| 868574| 64797
HD 115405 |   1|1.8019|1.8019|1.8019|0.0000|  0.00|   413.7|   413.7| 3/ 6/1977| 3/ 6/1977|HD 115405          |199.2299 +06.9449|A| 9.879| 9.028|1045062|
HD 115617 |   3|0.1598|0.1690|0.1640|0.0046|  2.83|  6362.3| 10704.6| 1/ 5/1978| 5/ 6/1978|HD 115617          |199.6041 -18.3086|A| 5.441| 4.727|1481415| 64924
HD 115617 |  13|0.1526|0.1832|0.1635|0.0082|  5.02|  8927.1| 17895.7|19/ 1/1979|27/ 6/1979|HD 115617          |199.6041 -18.3086|A| 5.441| 4.727|1481415| 64924
HD 115617 |   1|0.1580|0.1580|0.1580|0.0000|  0.00|  5753.8|  5753.8| 8/ 2/1980| 8/ 2/1980|HD 115617          |199.6041 -18.3086|A| 5.441| 4.727|1481415| 64924
HD 115617 |  66|0.1493|0.1630|0.1569|0.0030|  1.93|  2584.7|  3315.5|10/ 3/1981|18/ 5/1981|HD 115617          |199.6041 -18.3086|A| 5.441| 4.727|1481415| 64924
HD 115617 | 108|0.1385|0.1776|0.1633|0.0062|  3.81|   561.7|  2598.3|24/ 2/1982|16/ 6/1982|HD 115617          |199.6041 -18.3086|A| 5.441| 4.727|1481415| 64924
HD 115617 | 138|0.1474|0.1740|0.1603|0.0047|  2.92|  2133.0|  3452.3|12/ 1/1983|31/ 5/1983|HD 115617          |199.6041 -18.3086|A| 5.441| 4.727|1481415| 64924
HD 116459 |   1|0.1633|0.1633|0.1633|0.0000|  0.00|   477.6|   477.6| 2/ 5/1978| 2/ 5/1978|HD 116459          |198.8013 +84.7521|A| 7.799| 7.262|  37114| 64655
HD 116459 |   1|0.1557|0.1557|0.1557|0.0000|  0.00|  1966.6|  1966.6|31/ 5/1979|31/ 5/1979|HD 116459          |198.8013 +84.7521|A| 7.799| 7.262|  37114| 64655
HD 117176 |   1|0.1339|0.1339|0.1339|0.0000|  0.00|  1237.7|  1237.7|14/ 6/1978|14/ 6/1978|HD 117176          |202.1081 +13.7802|A| 5.685| 4.966| 955691| 65721
HD 117176 |   2|0.1411|0.1620|0.1516|0.0148|  9.75|  5316.0|  6643.1|20/ 4/1979|11/ 5/1979|HD 117176          |202.1081 +13.7802|A| 5.685| 4.966| 955691| 65721
HD 117176 |   3|0.1380|0.1435|0.1407|0.0028|  1.96|  2688.9|  2699.2|23/ 6/1981|23/ 6/1981|HD 117176          |202.1081 +13.7802|A| 5.685| 4.966| 955691| 65721
HD 118576 |   1|0.1435|0.1435|0.1435|0.0000|  0.00|   227.0|   227.0|17/ 6/1978|17/ 6/1978|HD 118576          |204.3020 +30.0850|A| 9.960| 9.298| 589356| 66439
HD 118576 |   2|0.1833|0.1894|0.1864|0.0043|  2.31|   256.7|   394.5|11/ 5/1979|31/ 5/1979|HD 118576          |204.3020 +30.0850|A| 9.960| 9.298| 589356| 66439
HD 119217 |   2|0.7501|1.4979|1.1240|0.5288| 47.04|   453.8|   548.3|20/ 4/1979|29/ 5/1979|HD 119217          |205.4824 -00.1281|A|11.045| 9.771|1233620| 66840
HD 119850 |   1|0.9485|0.9485|0.9485|0.0000|  0.00|   824.9|   824.9|11/ 5/1979|11/ 5/1979|HD 119850          |206.4279 +14.8951|A| 9.877| 8.488| 956176| 67155
HD 120136 |   5|0.1853|0.1958|0.1910|0.0047|  2.44|     0.0|     0.0|28/ 2/1967|26/ 6/1967|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |   5|0.1841|0.1937|0.1890|0.0043|  2.26|     0.0|     0.0| 3/ 5/1968|10/ 7/1968|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  11|0.1799|0.2012|0.1899|0.0071|  3.73|     0.0|     0.0|31/ 1/1969| 2/ 5/1969|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  17|0.1840|0.2024|0.1931|0.0049|  2.55|     0.0|     0.0|16/ 3/1970|25/ 6/1970|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  10|0.1808|0.1931|0.1879|0.0039|  2.09|     0.0|     0.0|17/ 3/1971|12/ 6/1971|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  11|0.1773|0.1903|0.1836|0.0040|  2.20|     0.0|     0.0|22/ 3/1972|19/ 6/1972|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  12|0.1790|0.1885|0.1841|0.0026|  1.41|     0.0|     0.0|22/ 3/1973| 3/ 6/1973|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  12|0.1760|0.1933|0.1843|0.0057|  3.09|     0.0|     0.0| 7/ 2/1974|12/ 6/1974|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  19|0.1774|0.1939|0.1860|0.0047|  2.52|     0.0|     0.0|19/ 1/1975|29/ 6/1975|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  14|0.1781|0.1954|0.1853|0.0044|  2.38|     0.0|     0.0|15/ 1/1976|11/ 6/1976|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  26|0.1740|0.1981|0.1855|0.0063|  3.41| 15097.6| 11677.5|30/ 1/1977| 3/ 6/1977|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |   5|0.1864|0.2236|0.1997|0.0142|  7.13|  8080.8| 11265.0| 1/ 5/1978|17/ 6/1978|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |  12|0.1726|0.2054|0.1891|0.0085|  4.50| 16383.8| 25529.1|19/ 1/1979|26/ 6/1979|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 |   2|0.1949|0.1966|0.1958|0.0012|  0.61|  8839.9| 13487.5|22/ 1/1980| 8/ 2/1980|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 | 108|0.1764|0.1951|0.1850|0.0042|  2.30|  3598.3|  8764.9|20/ 2/1981|22/ 7/1981|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 | 207|0.1766|0.1968|0.1852|0.0041|  2.20|  3528.4|  8540.7|17/ 1/1982|14/ 7/1982|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120136 | 153|0.1704|0.2054|0.1858|0.0065|  3.50|  2970.3| 10155.6|11/ 1/1983|31/ 5/1983|HD 120136          |206.8168 +17.4568|A| 4.993| 4.481| 869404| 67275
HD 120476 |   2|0.7652|0.8288|0.7970|0.0450|  5.64|  1102.4|  1171.7|12/ 5/1979|29/ 5/1979|HD 120476          |207.2678 +26.9801|A| 8.249| 7.185| 687296| 67422
HD 120476 |   3|0.6881|0.7716|0.7212|0.0444|  6.15|   333.0|   365.6|23/ 6/1981|23/ 6/1981|HD 120476          |207.2678 +26.9801|A| 8.249| 7.185| 687296| 67422
HD 120477 |   3|0.8054|1.0039|0.9104|0.0997| 10.96|   150.5|   167.2|23/ 6/1981|23/ 6/1981|HD 120477          |207.3696 +15.7978|A| 5.603| 4.042| 869466| 67459
HD 122120 |   1|0.5851|0.5851|0.5851|0.0000|  0.00|   841.1|   841.1|12/ 5/1979|12/ 5/1979|HD 122120          |209.8313 +22.8697|A|10.162| 9.024| 781135| 68337
HD 122742 |   1|0.1971|0.1971|0.1971|0.0000|  0.00|  3471.1|  3471.1|17/ 6/1978|17/ 6/1978|HD 122742          |210.8846 +10.7875|A| 7.023| 6.266| 956692| 68682
HD 122742 |   1|0.2051|0.2051|0.2051|0.0000|  0.00|  3282.2|  3282.2|12/ 5/1979|12/ 5/1979|HD 122742          |210.8846 +10.7875|A| 7.023| 6.266| 956692| 68682
HD 122742 |   3|0.1594|0.1726|0.1668|0.0068|  4.05|   771.7|   812.0|23/ 6/1981|23/ 6/1981|HD 122742          |210.8846 +10.7875|A| 7.023| 6.266| 956692| 68682
HD 124570 |   4|0.1389|0.1430|0.1403|0.0019|  1.36|     0.0|     0.0| 9/ 3/1966|29/ 5/1966|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |   5|0.1370|0.1431|0.1410|0.0024|  1.68|     0.0|     0.0|14/ 4/1967|23/ 7/1967|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |   9|0.1337|0.1446|0.1382|0.0040|  2.93|     0.0|     0.0|11/ 2/1968|11/ 7/1968|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  12|0.1326|0.1410|0.1371|0.0025|  1.83|     0.0|     0.0| 1/ 2/1969| 3/ 7/1969|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  14|0.1341|0.1452|0.1393|0.0030|  2.12|     0.0|     0.0|16/ 3/1970|23/ 5/1970|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  10|0.1352|0.1420|0.1386|0.0019|  1.34|     0.0|     0.0|16/ 3/1971|14/ 5/1971|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  12|0.1330|0.1409|0.1366|0.0024|  1.76|     0.0|     0.0| 2/ 2/1972|19/ 6/1972|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  12|0.1338|0.1419|0.1376|0.0023|  1.70|     0.0|     0.0|22/ 3/1973| 3/ 6/1973|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  14|0.1326|0.1421|0.1367|0.0025|  1.86|     0.0|     0.0| 7/ 2/1974|22/ 6/1974|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  18|0.1330|0.1444|0.1383|0.0027|  1.96|     0.0|     0.0|20/ 1/1975|29/ 6/1975|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  15|0.1330|0.1435|0.1384|0.0030|  2.13|     0.0|     0.0|15/ 1/1976|11/ 6/1976|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  24|0.1270|0.1485|0.1376|0.0059|  4.25|  8528.0|  5890.1|29/ 1/1977| 2/ 6/1977|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |   6|0.1261|0.1372|0.1306|0.0036|  2.79|  3238.2|  8722.2| 1/ 5/1978|14/ 6/1978|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |  15|0.1218|0.1427|0.1336|0.0055|  4.10|  8808.2| 13237.0|19/ 1/1979|29/ 6/1979|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 |   2|0.1319|0.1343|0.1331|0.0017|  1.28|  5380.5|  7065.9|22/ 1/1980| 9/ 2/1980|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 | 129|0.1174|0.1366|0.1272|0.0034|  2.66|  1784.2|  3053.8| 8/ 3/1981|25/ 7/1981|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 | 268|0.1231|0.1442|0.1316|0.0039|  2.95|   682.9|  2769.4|23/ 1/1982|23/ 7/1982|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124570 | 153|0.1237|0.1443|0.1309|0.0038|  2.89|  1053.0|  3178.2|11/ 1/1983|31/ 5/1983|HD 124570          |213.5222 +12.9596|A| 6.089| 5.528| 957040| 69536
HD 124850 |   6|0.2133|0.2257|0.2179|0.0042|  1.93|     0.0|     0.0|28/ 2/1967|26/ 6/1967|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |   5|0.2069|0.2213|0.2142|0.0071|  3.33|     0.0|     0.0| 3/ 5/1968|10/ 7/1968|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  10|0.1977|0.2189|0.2043|0.0059|  2.87|     0.0|     0.0| 4/ 3/1969| 5/ 7/1969|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  17|0.2016|0.2229|0.2127|0.0055|  2.57|     0.0|     0.0|16/ 3/1970|25/ 6/1970|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  12|0.2022|0.2120|0.2059|0.0034|  1.64|     0.0|     0.0|16/ 3/1971|12/ 6/1971|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  11|0.1994|0.2117|0.2055|0.0042|  2.04|     0.0|     0.0|22/ 3/1972|19/ 6/1972|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  13|0.1991|0.2187|0.2099|0.0062|  2.96|     0.0|     0.0|22/ 3/1973|22/ 7/1973|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  14|0.1961|0.2148|0.2047|0.0045|  2.22|     0.0|     0.0| 7/ 2/1974|22/ 6/1974|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  17|0.1905|0.2102|0.2028|0.0049|  2.43|     0.0|     0.0|26/ 1/1975|29/ 6/1975|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  15|0.1936|0.2088|0.2026|0.0035|  1.75|     0.0|     0.0|11/ 2/1976|16/ 7/1976|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  25|0.1916|0.2116|0.2007|0.0053|  2.65| 16085.1| 10181.4|30/ 1/1977| 3/ 6/1977|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |   4|0.1954|0.2344|0.2112|0.0166|  7.87|  8094.8| 17670.5| 1/ 5/1978|15/ 7/1978|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 |  11|0.1879|0.2229|0.2072|0.0103|  4.98| 16718.1| 29812.5|25/ 1/1979|27/ 6/1979|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 | 131|0.1906|0.2143|0.2045|0.0037|  1.83|  8209.2| 15712.9|20/ 2/1981|23/ 7/1981|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 | 162|0.1951|0.2191|0.2053|0.0051|  2.48|  2499.0| 10792.2|26/ 2/1982|23/ 7/1982|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124850 | 141|0.1898|0.2133|0.2008|0.0052|  2.60|  2935.5| 10809.4|11/ 1/1983|31/ 5/1983|HD 124850          |214.0037 -05.9995|A| 4.601| 4.069|1314530| 69701
HD 124897 |   2|0.1357|0.1525|0.1441|0.0119|  8.24|     0.0|     0.0| 8/ 5/1979| 9/ 5/1979|HD 124897          |213.9181 +19.1873|A| 1.242| 0.085| 870215| 69673
HD 125053 |   1|0.1664|0.1664|0.1664|0.0000|  0.00|  2011.3|  2011.3| 9/ 5/1979| 9/ 5/1979|HD 125053          |214.9980 -67.6634|A| 9.169| 9.151|2406700|
HD 125455 |   1|0.1745|0.1745|0.1745|0.0000|  0.00|   171.6|   171.6| 9/ 6/1981| 9/ 6/1981|HD 125455          |214.8968 -05.1509|A| 8.441| 7.571|1314654| 70016
HD 126003 |   1|0.1685|0.1685|0.1685|0.0000|  0.00| 14024.6| 14024.6| 6/ 4/1977| 6/ 4/1977|HD 126003          |216.1712 -53.7398|A|11.034|10.817|2157980|
HD 126053 |   2|0.1728|0.1857|0.1793|0.0091|  5.09|     0.0|     0.0|11/ 3/1966|13/ 3/1966|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |   3|0.1647|0.1768|0.1709|0.0061|  3.54|     0.0|     0.0|16/ 4/1967|26/ 6/1967|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |   5|0.1633|0.1727|0.1680|0.0039|  2.35|     0.0|     0.0| 3/ 5/1968|11/ 7/1968|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |   7|0.1657|0.1866|0.1728|0.0075|  4.35|     0.0|     0.0| 4/ 3/1969| 5/ 7/1969|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  17|0.1621|0.1779|0.1706|0.0039|  2.28|     0.0|     0.0|16/ 3/1970|25/ 6/1970|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  11|0.1635|0.1759|0.1696|0.0046|  2.68|     0.0|     0.0|16/ 3/1971|12/ 6/1971|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  13|0.1618|0.1720|0.1669|0.0030|  1.79|     0.0|     0.0|22/ 3/1972| 5/ 7/1972|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  12|0.1622|0.1744|0.1693|0.0034|  1.99|     0.0|     0.0|22/ 3/1973|23/ 7/1973|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  14|0.1591|0.1783|0.1672|0.0048|  2.88|     0.0|     0.0| 9/ 2/1974|22/ 6/1974|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  11|0.1634|0.1752|0.1680|0.0034|  2.02|     0.0|     0.0|24/ 2/1975|29/ 6/1975|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  12|0.1627|0.1722|0.1678|0.0027|  1.60|     0.0|     0.0|11/ 2/1976|16/ 7/1976|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |  20|0.1564|0.1899|0.1664|0.0073|  4.37|  5332.5|  5166.3| 2/ 3/1977| 3/ 6/1977|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |   6|0.1585|0.1734|0.1626|0.0056|  3.42|  2719.5|  6116.7| 1/ 5/1978|15/ 7/1978|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |   9|0.1430|0.1807|0.1649|0.0098|  5.96|  7468.9| 11279.5|25/ 1/1979|26/ 6/1979|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 |   1|0.1664|0.1664|0.1664|0.0000|  0.00|  5013.9|  5013.9| 9/ 2/1980| 9/ 2/1980|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 | 162|0.1438|0.1817|0.1594|0.0058|  3.65|   687.7|  1588.3|22/ 2/1981|23/ 7/1981|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
HD 126053 | 245|0.1483|0.1860|0.1659|0.0062|  3.71|   664.6|  1444.3|17/ 1/1982|26/ 7/1982|HD 126053          |215.8131 +01.2427|A| 6.901| 6.252|1143029| 70319
